ID,Organization,Email,Additional Email,Website,Type,City,Country,Language,Source,Last Verified,Notes,Status,Last Outreach
1,Temple Emanu-El,info@templeemanuel.org,,https://www.templeemanuel.org,Religious Community,New York,United States,English,Official Website,2025-10-06,Large Reform congregation active in education,Active,2025-10-06
2,Central Synagogue,info@censyn.org,,https://www.centralsynagogue.org,Religious Community,New York,United States,English,Official Website,2025-10-06,Historic Reform synagogue very active community,Active,2025-10-06
3,Park East Synagogue,office@parkeastsyn.org,,https://www.parkeastsyn.org,Religious Community,New York,United States,English,Official Website,2025-10-06,Orthodox congregation strong educational programs,Active,2025-10-06
4,Jewish Community Center of Manhattan,info@jccmanhattan.org,,https://www.jccmanhattan.org,Cultural Center,New York,United States,English,Official Website,2025-10-06,Major cultural center educational programs,Active,2025-10-06
5,UJA-Federation of New York,info@ujafedny.org,,https://www.ujafedny.org,Charity Foundation,New York,United States,English,Official Website,2025-10-06,Major Jewish federation social services,Active,2025-10-06
6,Jewish Theological Seminary,info@jtsa.edu,library@jtsa.edu,https://www.jtsa.edu,Educational Institution,New York,United States,English,Official Website,2025-10-06,Conservative rabbinical seminary,Active,2025-10-06
7,Yeshiva University,info@yu.edu,,https://www.yu.edu,Educational Institution,New York,United States,English,Official Website,2025-10-06,Orthodox university multiple campuses,Active,2025-10-06
8,American Jewish Committee,info@ajc.org,,https://www.ajc.org,International Organization,New York,United States,English,Official Website,2025-10-06,Global Jewish advocacy organization,Active,2025-10-06
9,World Jewish Congress,info@wjc.org,newsletter-phone@2x-CDQ1WpM4.png,https://www.worldjewishcongress.org,International Organization,New York,United States,English,Official Website,2025-10-06,Global umbrella organization represents Jewish communities worldwide,Active,2025-10-06
10,Chabad on Campus International,info@chabad.edu,,https://www.chabad.edu,Youth Organization,New York,United States,English,Official Website,2025-10-06,Chabad student organization worldwide,Active,2025-10-06
11,Temple Israel of Hollywood,info@tioh.org,,https://www.tioh.org,Religious Community,Los Angeles,United States,English,Official Website,2025-10-06,Reform congregation active in social justice,Active,2025-10-06
12,Sinai Temple,info@sinaitemple.org,,https://www.sinaitemple.org,Religious Community,Los Angeles,United States,English,Official Website,2025-10-06,Conservative congregation large community,Active,2025-10-06
13,Jewish Federation of Greater Los Angeles,info@jewishla.org,,https://www.jewishla.org,Charity Foundation,Los Angeles,United States,English,Official Website,2025-10-06,Major federation community services,Active,2025-10-06
14,Chabad of Beverly Hills,info@chabadbh.org,,https://www.chabadbh.org,Religious Community,Beverly Hills,United States,English,Official Website,2025-10-06,Chabad center educational programs,Active,2025-10-06
15,Anshe Sholom B'nai Israel,info@asbi.org,membership@asbi.org,https://www.asbi.org,Religious Community,Chicago,United States,English,Official Website,2025-10-06,Conservative congregation active in education,Active,2025-10-06
16,Jewish Federation of Chicago,info@juf.org,,https://www.juf.org,Charity Foundation,Chicago,United States,English,Official Website,2025-10-06,Major federation community services,Active,2025-10-06
17,Temple Beth Am,info@templebetham.org,seed@templebetham.org,https://www.templebetham.org,Religious Community,Miami,United States,English,Official Website,2025-10-06,Reform congregation active in education,Active,2025-10-06
18,Jewish Federation of Greater Miami,info@jewishmiami.org,,https://www.jewishmiami.org,Charity Foundation,Miami,United States,English,Official Website,2025-10-06,Major federation community services,Active,2025-10-06
19,Temple Israel of Boston,info@tisrael.org,,https://www.tisrael.org,Religious Community,Boston,United States,English,Official Website,2025-10-06,Reform congregation educational programs,Active,2025-10-06
20,Combined Jewish Philanthropies,info@cjp.org,,https://www.cjp.org,Charity Foundation,Boston,United States,English,Official Website,2025-10-06,Major federation social services,Active,2025-10-06
21,Hebrew Union College - Jewish Institute of Religion,info@huc.edu,,https://www.huc.edu,Educational Institution,Cincinnati,United States,English,Official Website,2025-10-06,Reform rabbinical seminary multiple campuses,Active,2025-10-06
22,Hillel International,info@hillel.org,,https://www.hillel.org,Youth Organization,Washington DC,United States,English,Official Website,2025-10-06,Global Jewish student organization,Active,2025-10-06
23,BBYO (B'nai B'rith Youth Organization),info@bbyo.org,,https://www.bbyo.org,Youth Organization,Washington DC,United States,English,Official Website,2025-10-06,Jewish teen movement global reach,Active,2025-10-06
24,Beit Daniel,info@beit-daniel.org.il,,https://www.beit-daniel.org.il,Religious Community,Tel Aviv,Israel,Hebrew,Official Website,2025-10-06,Reform congregation English services available,Active,2025-10-06
25,Tel Aviv University - Jewish Studies,jewish.studies@tau.ac.il,,https://www.tau.ac.il,Educational Institution,Tel Aviv,Israel,Hebrew/English,Official Website,2025-10-06,University department international programs,Active,2025-10-06
26,Hebrew Union College,info@huc.edu,,https://www.huc.edu,Educational Institution,Jerusalem,Israel,English,Official Website,2025-10-06,Reform rabbinical seminary international programs,Active,2025-10-06
27,Yad Vashem,info@yadvashem.org.il,,https://www.yadvashem.org,Memorial Organization,Jerusalem,Israel,Hebrew/English,Official Website,2025-10-06,Holocaust memorial educational programs,Active,2025-10-06
28,Jewish Agency for Israel,info@jafi.org.il,,https://www.jewishagency.org,International Organization,Jerusalem,Israel,Hebrew/English,Official Website,2025-10-06,Connects Jews worldwide with Israel,Active,2025-10-06
29,Jüdische Gemeinde zu Berlin,info@jg-berlin.org,,https://www.jg-berlin.org,Religious Community,Berlin,Germany,German,Official Website,2025-10-06,Largest Jewish community in Germany,Active,2025-10-06
30,Jewish Community School of Berlin,contact@jcs-berlin.de,info@jcs-berlin.de,https://www.jcs-berlin.de,Educational Institution,Berlin,Germany,German,Official Website,2025-10-06,K-12 school bilingual program,Active,2025-10-06
31,Jüdische Gemeinde München,info@ikg-m.de,empfang@ikg-m.de,https://www.ikg-m.de,Religious Community,Munich,Germany,German,Official Website,2025-10-06,Large Jewish community cultural programs,Active,2025-10-06
32,Jüdische Gemeinde Frankfurt,info@jg-ffm.de,gemeinde@jg-ffm.de,https://www.jg-ffm.de,Religious Community,Frankfurt,Germany,German,Official Website,2025-10-06,Historic community educational center,Active,2025-10-06
33,West London Synagogue,info@wls.org.uk,admin@wls.org.uk,https://www.wls.org.uk,Religious Community,London,United Kingdom,English,Official Website,2025-10-06,Reform congregation historic synagogue,Active,2025-10-06
